         _id            timestamp  ... device  label
782    783  2019-07-12 15:14:35  ...   Watch       
783    784  2019-07-12 15:15:37  ...   Watch       
784    785  2019-07-12 15:16:38  ...   Watch       
785    786  2019-07-12 15:21:49  ...   Watch       
786    787  2019-07-12 15:24:11  ...   Watch       
787    788  2019-07-12 16:12:20  ...  iPhone       
788    789  2019-07-12 16:22:20  ...  iPhone       
789    790  2019-07-12 16:39:58  ...  iPhone       
790    791  2019-07-12 17:58:50  ...  iPhone       
791    792  2019-07-12 18:08:50  ...  iPhone       
792    793  2019-07-12 18:38:43  ...  iPhone       
793    794  2019-07-12 18:48:42  ...  iPhone       
794    795  2019-07-12 19:02:03  ...  iPhone       
795    796  2019-07-12 19:12:20  ...  iPhone       
796    797  2019-07-12 19:24:35  ...  iPhone       
797    798  2019-07-12 19:40:18  ...  iPhone       
798    799  2019-07-12 20:43:28  ...  iPhone       
799    800  2019-07-12 21:01:35  ...  iPhone       
...    ...                  ...  ...     ...    ...
2434  2435  2019-07-15 01:06:31  ...   Watch       
2435  2436  2019-07-15 05:00:47  ...   Watch       
2436  2437  2019-07-15 07:45:34  ...   Watch       
2437  2438  2019-07-15 08:07:50  ...   Watch       
2438  2439  2019-07-15 09:09:21  ...   Watch       
2439  2440  2019-07-15 09:09:26  ...  iPhone       
2440  2441  2019-07-15 09:10:23  ...   Watch       
2441  2442  2019-07-15 09:11:24  ...   Watch       
2442  2443  2019-07-15 09:12:36  ...   Watch       
2443  2444  2019-07-15 09:15:47  ...   Watch       
2444  2445  2019-07-15 09:18:34  ...   Watch       
2445  2446  2019-07-15 09:22:39  ...   Watch       
2446  2447  2019-07-15 09:23:41  ...   Watch       
2447  2448  2019-07-15 09:26:46  ...   Watch       
2448  2449  2019-07-15 09:30:33  ...   Watch       
2449  2450  2019-07-15 09:33:15  ...   Watch       
2450  2451  2019-07-15 09:55:18  ...   Watch       
2451  2452  2019-07-15 09:55:39  ...  iPhone       
2452  2453  2019-07-15 09:56:44  ...   Watch       
2453  2454  2019-07-15 09:57:46  ...   Watch       
2454  2455  2019-07-15 09:58:47  ...   Watch       
2455  2456  2019-07-15 09:59:48  ...   Watch       
2456  2457  2019-07-15 10:00:50  ...   Watch       
2457  2458  2019-07-15 10:01:52  ...   Watch       
2458  2459  2019-07-15 10:02:54  ...   Watch       
2459  2460  2019-07-15 10:03:56  ...   Watch       
2460  2461  2019-07-15 10:04:57  ...   Watch       
2461  2462  2019-07-15 10:05:39  ...  iPhone       
2462  2463  2019-07-15 10:05:59  ...   Watch       
2463  2464  2019-07-15 10:07:01  ...   Watch       

[371 rows x 9 columns] 


     _id            timestamp  ...  device  label
765  766  2019-07-12 18:05:21  ...  iPhone       
766  767  2019-07-13 17:17:30  ...  iPhone       
767  768  2019-07-13 17:42:55  ...  iPhone       
768  769  2019-07-13 21:03:08  ...  iPhone       
769  770  2019-07-13 22:34:51  ...  iPhone       

[5 rows x 9 columns] 


       _id            timestamp  ... device  label
1577  1578  2019-07-14 15:06:44  ...  Watch       
1578  1579  2019-07-14 15:51:09  ...  Watch       
1579  1580  2019-07-14 16:02:36  ...  Watch       
1580  1581  2019-07-14 16:09:20  ...  Watch       
1581  1582  2019-07-14 16:13:35  ...  Watch       
1582  1583  2019-07-14 16:26:03  ...  Watch       
1583  1584  2019-07-14 16:27:59  ...  Watch       
1584  1585  2019-07-14 17:17:41  ...  Watch       
1585  1586  2019-07-14 17:25:49  ...  Watch       
1586  1587  2019-07-14 17:28:06  ...  Watch       
1587  1588  2019-07-14 17:35:39  ...  Watch       
1588  1589  2019-07-14 17:38:44  ...  Watch       
1589  1590  2019-07-14 17:43:53  ...  Watch       
1590  1591  2019-07-14 17:50:50  ...  Watch       
1591  1592  2019-07-14 17:54:29  ...  Watch       
1592  1593  2019-07-14 17:58:46  ...  Watch       
1593  1594  2019-07-14 18:04:31  ...  Watch       
1594  1595  2019-07-14 18:08:56  ...  Watch       
1595  1596  2019-07-14 18:13:19  ...  Watch       
1596  1597  2019-07-14 18:18:02  ...  Watch       
1597  1598  2019-07-14 18:21:38  ...  Watch       
1598  1599  2019-07-14 18:50:20  ...  Watch       
1599  1600  2019-07-14 18:56:56  ...  Watch       
1600  1601  2019-07-14 19:04:21  ...  Watch       
1601  1602  2019-07-14 19:08:41  ...  Watch       
1602  1603  2019-07-14 19:15:07  ...  Watch       
1603  1604  2019-07-14 19:20:16  ...  Watch       
1604  1605  2019-07-14 19:24:46  ...  Watch       
1605  1606  2019-07-14 19:29:30  ...  Watch       
1606  1607  2019-07-14 19:35:30  ...  Watch       
...    ...                  ...  ...    ...    ...
2358  2359  2019-07-15 06:19:46  ...  Watch       
2359  2360  2019-07-15 06:22:51  ...  Watch       
2360  2361  2019-07-15 06:30:14  ...  Watch       
2361  2362  2019-07-15 06:33:09  ...  Watch       
2362  2363  2019-07-15 06:40:44  ...  Watch       
2363  2364  2019-07-15 06:43:49  ...  Watch       
2364  2365  2019-07-15 06:47:57  ...  Watch       
2365  2366  2019-07-15 06:53:46  ...  Watch       
2366  2367  2019-07-15 06:58:24  ...  Watch       
2367  2368  2019-07-15 07:03:48  ...  Watch       
2368  2369  2019-07-15 07:11:01  ...  Watch       
2369  2370  2019-07-15 07:12:33  ...  Watch       
2370  2371  2019-07-15 07:17:42  ...  Watch       
2371  2372  2019-07-15 07:24:23  ...  Watch       
2372  2373  2019-07-15 07:29:55  ...  Watch       
2373  2374  2019-07-15 07:34:35  ...  Watch       
2374  2375  2019-07-15 07:41:04  ...  Watch       
2375  2376  2019-07-15 07:42:37  ...  Watch       
2376  2377  2019-07-15 07:47:07  ...  Watch       
2377  2378  2019-07-15 07:51:40  ...  Watch       
2378  2379  2019-07-15 07:59:38  ...  Watch       
2379  2380  2019-07-15 08:05:54  ...  Watch       
2380  2381  2019-07-15 08:07:58  ...  Watch       
2381  2382  2019-07-15 08:11:47  ...  Watch       
2382  2383  2019-07-15 09:13:36  ...  Watch       
2383  2384  2019-07-15 09:41:13  ...  Watch       
2384  2385  2019-07-15 09:45:38  ...  Watch       
2385  2386  2019-07-15 09:47:32  ...  Watch       
2386  2387  2019-07-15 09:54:31  ...  Watch       
2387  2388  2019-07-15 10:10:15  ...  Watch       

[185 rows x 9 columns] 


       _id            timestamp  ...  device  label
762    763  2019-07-14 12:01:58  ...   Watch       
763    764  2019-07-14 12:10:35  ...   Watch       
764    765  2019-07-14 12:15:54  ...   Watch       
1398  1399  2019-07-14 14:46:25  ...  iPhone       
